original_school_name,original_city,original_county,district_id,district_name,district_type,school_id,school_name,address,city
Mars Elementary Schools,Berrien Springs,Berrien,11240,Berrien Springs Public Schools,LEA School,298,Mars Elementary School,1 Sylvester Ave,Berrien Springs
A.D. Johnston High School,Bessemer,Gogebic,27010,Bessemer Area School District,LEA School,3,A.D. Johnston Jr/Sr High School,100 West Lead St,Bessemer
Bessemer Area Schools,Bessemer,Gogebic,27010,Bessemer Area School District,LEA School,3,A.D. Johnston Jr/Sr High School,100 West Lead St,Bessemer
Bessemer High School,Bessemer,Gogebic,27010,Bessemer Area School District,LEA School,3,A.D. Johnston Jr/Sr High School,100 West Lead St,Bessemer
Big Rapids High School,Big Rapids,Mecosta,54010,Big Rapids Public Schools,LEA School,321,Big Rapids Middle School,500 North Warren Ave,Big Rapids
Big Rapids Middle School,Big Rapids,Mecosta,54010,Big Rapids Public Schools,LEA School,321,Big Rapids Middle School,500 North Warren Ave,Big Rapids
Brookside Elementary,Big Rapids,Mecosta,54010,Big Rapids Public Schools,LEA School,415,Brookside Elementary School,210 Escott St,Big Rapids
Birmingham Groves Big Brother Big Sister Program,NA,Oakland,63010,Birmingham Public Schools,LEA School,4608,Wylie E. Groves High School,20500 West 13 Mile Rd,Beverly Hills
Blissfield Schools,Blissfield,Lenawee,46040,Blissfield Community Schools,LEA School,353,Blissfield High School,630 South Lane St,Blissfield
Bloomfield Christian School,Bloomfield Hills,Oakland,63080,Bloomfield Hills Schools,LEA School,2118,Bloomfield Hills High School,4200 Andover Rd,Bloomfield Hills
Bloomfield Christian Upper School,Bloomfield Hills,Oakland,63080,Bloomfield Hills Schools,LEA School,2118,Bloomfield Hills High School,4200 Andover Rd,Bloomfield Hills
Girard Head Start (Branch ISD),Coldwater,Branch,12000,Branch ISD,ISD Unique Education Provider,7321,Early Education,200 Bishop Ave,Coldwater
Brandon High School,Ortonville,Oakland,63180,Brandon School District in the Counties of Oakland and Lapeer,LEA School,385,Brandon High School,1025 South Ortonville Rd,Ortonville
Brandywine,Niles,Berrien,11210,Brandywine Community Schools,LEA School,386,Brandywine Elementary School,2428 South 13th St,Niles
Brandywine,Niles,Berrien,11210,Brandywine Community Schools,LEA School,386,Brandywine Elementary School,2428 South 13th St,Niles
Brandywine Middle/High School,Niles,Berrien,11210,Brandywine Community Schools,LEA School,386,Brandywine Elementary School,2428 South 13th St,Niles
Breitung Township Schools,Kingsford,Dickinson,22030,Breitung Township School District,LEA School,2039,Kingsford High School,431 Hamilton Ave,Kingsford
Bridgman Elementary,Bridgman,Berrien,11340,Bridgman Public Schools,LEA School,400,Bridgman Elementary School,3891 Lake St,Bridgman
Bronson Community Scool,Bronson,Branch,12020,Bronson Community School District,LEA School,408,Bronson Jr/Sr High School,450 East Grant St,Bronson
Buchanan Elementary,Buchanan,Berrien,11310,Buchanan Community Schools,LEA School,435,Buchanan High School,401 West Chicago St,Buchanan
Bullock Creek Elementary,Midland,Midland,56020,Bullock Creek School District,LEA School,443,Bullock Creek High School,1420 South Badour Rd,Midland
Byron High School,Byron,Shiawassee,78020,Byron Area Schools,LEA School,472,Byron Area High School,312 West Maple St,Byron
Byron HS,Byron,Shiawassee,78020,Byron Area Schools,LEA School,472,Byron Area High School,312 West Maple St,Byron
Byron Center High School,Byron Center,Kent,41040,Byron Center Public Schools,LEA School,475,Byron Center High School,8500 Burlingame Ave Sw,Byron Center
Caledonia High School,Caledonia,Kent,41050,Caledonia Community Schools,LEA School,491,Caledonia High School,9050 Kraft Ave Se,Caledonia
Canton High School,Canton,Wayne,82711,Canton Preparatory High School,PSA School,2325,Canton Preparatory High School,46610 Cherry Hill Rd,Canton
Capac Elementary School,Capac,St. Clair,74040,Capac Community Schools,LEA School,518,Capac Elementary School,351 West Kempf Ct,Capac
Carney-Nadeau Public School,Carney,Menominee,55010,Carney-Nadeau Public Schools,LEA School,527,Carney-Nadeau Public School,151   Us 41,Carney
CaroHigh School,Caro,Tuscola,79020,Caro Community Schools,LEA School,529,Caro High School,301 North Hooper St,Caro
Carson City Elementary,Carson City,Montcalm,59020,Carson City-Crystal Area Schools,LEA School,538,Carson City Elementary School,338 Eagle Ave,Carson City
Carson City Crystal,Carson City,Montcalm,59020,Carson City-Crystal Area Schools,LEA School,2110,Carson City-Crystal Alternative Academy,115 W Main Street,Carson City
Carson City Crystal Bussing,Carson City,Montcalm,59020,Carson City-Crystal Area Schools,LEA School,539,Carson City-Crystal High School,213 East Sherman St,Carson City
Carson City Crystal Schools,Carson City,Montcalm,59020,Carson City-Crystal Area Schools,LEA School,539,Carson City-Crystal High School,213 East Sherman St,Carson City
Carson City Schools,Carson City,Montcalm,59020,Carson City-Crystal Area Schools,LEA School,539,Carson City-Crystal High School,213 East Sherman St,Carson City
CCC Bussing,Carson City,Montcalm,59020,Carson City-Crystal Area Schools,LEA School,539,Carson City-Crystal High School,213 East Sherman St,Carson City
Cass City Elementary,Cass City,Tuscola,79030,Cass City Public Schools,LEA School,509,Cass City Elementary,4805 Ale St,Cass City
Cedar Springs High School,Cedar Springs,Kent,41070,Cedar Springs Public Schools,LEA School,568,Cedar Springs Middle School,4873 16 Mile Rd Ne,Cedar Springs
Central Montcalm,Stanton,Montcalm,59125,Central Montcalm Public Schools,LEA School,610,Central Montcalm High School,1480 South Sheridan Rd,Stanton
Montcalm Area ISD,Stanton,Montcalm,59125,Central Montcalm Public Schools,LEA School,610,Central Montcalm High School,1480 South Sheridan Rd,Stanton
Montcalm ISD,Stanton,Montcalm,59125,Central Montcalm Public Schools,LEA School,610,Central Montcalm High School,1480 South Sheridan Rd,Stanton
Centreville School,Centreville,St. Joseph,75030,Centreville Public Schools,LEA School,628,Centreville Elementary School,190 Hogan St,Centreville
Parkview,Charlotte,Eaton,23030,Charlotte Public Schools,LEA School,5797,Parkview Elementary School,301 East Kalamo Hwy,Charlotte
Parkview,Charlotte,Eaton,23030,Charlotte Public Schools,LEA School,5797,Parkview Elementary School,301 East Kalamo Hwy,Charlotte
Parkview Elementary,Charlotte,Eaton,23030,Charlotte Public Schools,LEA School,5797,Parkview Elementary School,301 East Kalamo Hwy,Charlotte
Barryton Elementary,Barryton,Mecosta,54025,Chippewa Hills School District,LEA School,5902,Barryton Elementary School,19701 30th Ave,Barryton
Chippewa Valley Schools Administration,Clinton Township,Macomb,50080,Chippewa Valley Schools,LEA School,7984,Chippewa Valley Adult and Mohegan Alt. Educ.,19230 Cass Ave,Clinton Twp
Clinton Valley Elementary School,Mount Clemens,Macomb,50080,Chippewa Valley Schools,LEA School,728,Clinton Valley Elementary School,1260 Mulberry St,Mount Clemens
Fox Elementary,Macomb,Macomb,50080,Chippewa Valley Schools,LEA School,557,Fox Elementary School,17500 Millstone Dr,Macomb
Iroquois Middle School,Macomb,Macomb,50080,Chippewa Valley Schools,LEA School,2655,Iroquois Middle School,48301 Romeo Plank,Macomb
Miami Elementary School,Clinton Township,Macomb,50080,Chippewa Valley Schools,LEA School,6588,Miami Elementary School,41290 Kentvale Dr,Clinton Twp
Chippewa Valley Administration Building,Clinton Township,Macomb,50080,Chippewa Valley Schools,LEA School,729,Wyandot Middle School,39490 Garfield,Clinton Twp
Grand Blanc High School West Campus,Grand Blanc,Genesee,25150,Clio Area School District,LEA School,732,Clio Area High School,1 Mustang Dr,Clio
Swartz Creek High School,Swartz Creek,Genesee,25150,Clio Area School District,LEA School,732,Clio Area High School,1 Mustang Dr,Clio
Coldwater High School,Coldwater,Branch,12010,Coldwater Community Schools,LEA School,744,Coldwater High School,275 North Fremont St,Coldwater
Coldwater High School,Coldwater,Branch,12010,Coldwater Community Schools,LEA School,744,Coldwater High School,275 North Fremont St,Coldwater
Coldwater High School,Coldwater,St. Joseph,12010,Coldwater Community Schools,LEA School,744,Coldwater High School,275 North Fremont St,Coldwater
Coldwater School,Coldwater,St. Joseph,12010,Coldwater Community Schools,LEA School,744,Coldwater High School,275 North Fremont St,Coldwater
Max Larsen Elementary School,Coldwater,Branch,12010,Coldwater Community Schools,LEA School,1080,Larsen Elementary School,25 Parkhurst Ave,Coldwater
Cole Academy East,East Lansing,Ingham,33901,Cole Academy,PSA School,3324,Cole Academy East,2921 E Coleman Rd,East Lansing
Coloma High School,Coloma,Berrien,11330,Coloma Community Schools,LEA School,752,Coloma Elementary School,262 West St,Coloma
Comstock Elementary,Kalamazoo,Kalamazoo,39030,Comstock Public Schools,LEA School,765,Comstock High School,2107 North 26th St,Kalamazoo
Coopersville High School,Coopersville,Ottawa,70120,Coopersville Area Public School District,LEA School,793,Coopersville West Early Childhood Center,198 East St,Coopersville
Davison Middle School,Davison,Genesee,25140,Davison Community Schools,LEA School,878,Davison High School,1250 North Oak Rd,Davison
Davison Middle School,Davison,Genesee,25140,Davison Community Schools,LEA School,878,Davison High School,1250 North Oak Rd,Davison
World of Wonder/Ellen Street Campus,Fenton,Genesee,25140,Davison Community Schools,LEA School,1674,Hill Elementary School,404 Aloha St,Davison
World of Wonder/Ellen Street Campus,Fenton,Genesee,25140,Davison Community Schools,LEA School,1674,Hill Elementary School,404 Aloha St,Davison
Salina Intermediate School,Dearborn,Wayne,82030,Dearborn City School District,LEA School,3383,Salina Intermediate 4 - 8,2623 Salina St,Dearborn
Detroit Enterprise Academy,Detroit,Detroit City,82979,Detroit Enterprise Academy,PSA School,9462,Detroit Enterprise Academy,11224 Kercheval St,Detroit
Bunche Prepatory Academy,Detroit,Detroit City,82015,Detroit Public Schools Community District,LEA School,446,Bunche Preparatory Academy,2715 Macomb Street,Detroit
Amelia Earhart Elementary-Middle School,Detroit,Detroit City,82015,Detroit Public Schools Community District,LEA School,860,Earhart Elementary-Middle School,1000 Scotten Street,Detroit
Earhart Elementary,Detroit,Wayne,82015,Detroit Public Schools Community District,LEA School,860,Earhart Elementary-Middle School,1000 Scotten Street,Detroit
Earhart Elementary,Detroit,Wayne,82015,Detroit Public Schools Community District,LEA School,860,Earhart Elementary-Middle School,1000 Scotten Street,Detroit
Munger,Detroit,Wayne,82015,Detroit Public Schools Community District,LEA School,858,Munger Elementary-Middle School,5525 Martin,Detroit
Munger,Detroit,Wayne,82015,Detroit Public Schools Community District,LEA School,858,Munger Elementary-Middle School,5525 Martin,Detroit
Munger Elementary-Middle School,Detroit,Detroit City,82015,Detroit Public Schools Community District,LEA School,858,Munger Elementary-Middle School,5525 Martin,Detroit
Western International High School,Detroit,Detroit City,82015,Detroit Public Schools Community District,LEA School,4477,Western International High School,1500 Scotten St,Detroit
Western International High School,Detroit,Wayne,82015,Detroit Public Schools Community District,LEA School,4477,Western International High School,1500 Scotten St,Detroit
Dewitt Public Schools,Dewitt,Clinton,19010,DeWitt Public Schools,LEA School,912,DeWitt High School,13601 Panther Dr,Dewitt
Robert Kerr Elementary School,Durand,Shiawassee,78030,Durand Area Schools,LEA School,3234,Robert Kerr School,9591 East Monroe Rd,Durand
Eagle Crest Charter Academy,Holland,Ottawa,70906,Eagle Crest Charter Academy,PSA School,8516,Eagle Crest Charter Academy,11950 Riley St,Holland
Breton Downs Elementary,Grand Rapids,Kent,41090,East Grand Rapids Public Schools,LEA School,393,Breton Downs School,2500 Boston St Se,Grand Rapids
East Kentwood High School,Kentwood,Kent,41090,East Grand Rapids Public Schools,LEA School,1013,East Grand Rapids High School,2211 Lake Dr Se,Grand Rapids
East Grand Rapids High School,East Grand Rapids,Kent,41090,East Grand Rapids Public Schools,LEA School,1012,East Grand Rapids Middle School,2425 Lake Dr Se,Grand Rapids
East Grand Rapids High School,East GR,Kent,41090,East Grand Rapids Public Schools,LEA School,1012,East Grand Rapids Middle School,2425 Lake Dr Se,Grand Rapids
East Jordan Elementary,East Jordan,Charlevoix,15060,East Jordan Public Schools,LEA School,1015,East Jordan Elementary School,304 4th St,East Jordan
Edwardsburg Schools,Edwardsburg,Cass,14030,Edwardsburg Public Schools,LEA School,1094,Edwardsburg Primary School,69100 Section St,Edwardsburg
Engadine Cosolidated School,Engadine,Mackinac,49055,Engadine Consolidated Schools,LEA School,490,Engadine Schools,"W 13920 Melville St, Engadine, Mi, 49827",Engadine
Escanaba Jr/Sr High School,Escanaba,Delta,21010,Escanaba Area Public Schools,LEA School,1155,Escanaba Area Public High School,500 South Lincoln Rd,Escanaba
Webster Kindergarten Center,Escanaba,Delta,21010,Escanaba Area Public Schools,LEA School,4421,Webster Elementary School,1209 North 19th St,Escanaba
Webster Kindergarten Center,Escanaba,Delta,21010,Escanaba Area Public Schools,LEA School,4421,Webster Elementary School,1209 North 19th St,Escanaba
EPS Cramer,Essexville,Bay,9050,Essexville-Hampton Public Schools,LEA School,1358,Garber High School,213 Pine St,Essexville
EPS Garber,Essexville,Bay,9050,Essexville-Hampton Public Schools,LEA School,1358,Garber High School,213 Pine St,Essexville
Essexville Verellen Elementary,Essexville,Bay,9050,Essexville-Hampton Public Schools,LEA School,4290,Verellen Elementary School,612 Borton Rd,Essexville
North Farmington Highschool,Farmington Hills,Oakland,63200,Farmington Public School District,LEA School,2729,North Farmington High School,32900 West 13 Mile Rd,Farmington Hills
Fennville High School,Fennville,Allegan,3050,Fennville Public Schools,LEA School,1217,Fennville Public High School,4 Memorial Dr,Fennville
Fitzgerald High School,Warren,Macomb,50090,Fitzgerald Public Schools,LEA School,1242,Fitzgerald Senior High School,23200 Ryan Rd,Warren
North Road Elementary,Fenton,Genesee,25120,Flushing Community Schools,LEA School,585,Central Elementary School,525 Coutant St,Flushing
Forest Hills Central High School,Grand Rapids,Kent,41110,Forest Hills Public Schools,LEA School,1265,Central High School,5901 Hall St Se,Grand Rapids
Forest Hills Northern High School,Grand Rapids,Kent,41110,Forest Hills Public Schools,LEA School,6294,Northern High School,3801 Leonard St Ne,Grand Rapids
Fowler Admin,Fowler,Clinton,19070,Fowler Public Schools,LEA School,1284,Fowler High School,700 South Wright Rd,Fowler
Fowler High School Administration,Fowler,Clinton,19070,Fowler Public Schools,LEA School,1284,Fowler High School,700 South Wright Rd,Fowler
Frankenmuth High School,Frankenmuth,Saginaw,73190,Frankenmuth School District,LEA School,1297,Frankenmuth High School,525 East Genesee St,Frankenmuth
List Elementary,Frankenmuth,Saginaw,73190,Frankenmuth School District,LEA School,1297,Frankenmuth High School,525 East Genesee St,Frankenmuth
Frankfort Elberta Area School,Frankfort,Benzie,10025,Frankfort-Elberta Area Schools,LEA School,1298,Frankfort Elementary School,613 Leelanau Ave,Frankfort
Fraser High School,Fraser,Macomb,50100,Fraser Public Schools,LEA School,1308,Fraser High School,34270 Garfield Rd,Fraser
Walt Disney Elementary School,Clinton Township,Macomb,50100,Fraser Public Schools,LEA School,4904,Walt Disney Elementary School,36155 Kelly Rd,Clinton Township
Fremont Public School,Fremont,Newaygo,62040,Fremont Public School District,LEA School,1324,Fremont High School,5421 S Warner Ave,Fremont
Galesburg Augusta Primary School,Galesburg,Kalamazoo,39050,Galesburg-Augusta Community Schools,LEA School,1351,Galesburg-Augusta Primary School,315 West Battle Creek St,Galesburg
Gaylord Intermediate School,Gaylord,Otsego,69020,Gaylord Community Schools,LEA School,7965,Gaylord Intermediate School,240 East 4th St,Gaylord
Early Learning Center,Flint,Genesee,25000,Genesee ISD,ISD Unique Education Provider,1804,Early On,3375 Van Campen Road,Flint
Early Learning Center - Genesee Intermediate School District,Flint,Genesee,25000,Genesee ISD,ISD Unique Education Provider,1804,Early On,3375 Van Campen Road,Flint
Chapman Elementary School,Rockwood,Wayne,82290,Gibraltar School District,LEA School,637,Chapman Elementary School,31500 Olmstead Rd,Rockwood
Carlson High School,Rockwood,Wayne,82290,Gibraltar School District,LEA School,525,Oscar A. Carlson High School,30550 West Jefferson Ave,Rockwood
Shumate Middle School,Gibraltar,Wayne,82290,Gibraltar School District,LEA School,6681,Shumate Middle School,30448 West Jefferson Ave,Rockwood
Gladstone High School,Gladstone,Delta,21025,Gladstone Area Schools,LEA School,1407,Gladstone Area Middle School,300 South 10th St,Gladstone
Gladwin High School,Gladwin,Gladwin,26040,Gladwin Community Schools,LEA School,1411,Gladwin Junior High School,401 North Bowery Ave,Gladwin
Glen Lake Community Schools,Maple City,Leelanau,45010,Glen Lake Community Schools,LEA School,1417,Glen Lake Community School,3375 West Burdickville Rd,Maple City
Godfrey Elementary School,Wyoming,Kent,41120,Godfrey-Lee Public Schools,LEA School,1431,Godfrey Elementary School,1920 Godfrey Ave Sw,Wyoming
Reid Elementary,Goodrich,Genesee,25050,Goodrich Area Schools,LEA School,3179,Reid Elementary School,7501 Seneca St,Goodrich
Grand Blanc Building and Grounds,Grand Blanc,Genesee,25030,Grand Blanc Community Schools,LEA School,1453,Grand Blanc Community High School,12500 Holly Rd,Grand Blanc
Grand Blanc High School,Grand Blanc,Genesee,25030,Grand Blanc Community Schools,LEA School,1453,Grand Blanc Community High School,12500 Holly Rd,Grand Blanc
Grand Blanc High School East Campus,Grand Blanc,Genesee,25030,Grand Blanc Community Schools,LEA School,1453,Grand Blanc Community High School,12500 Holly Rd,Grand Blanc
Perry Innovation Center,Grand Blanc,Genesee,25030,Grand Blanc Community Schools,LEA School,1452,Perry Pre-Kindergarten,11920 South Saginaw St,Grand Blanc
Grand Haven High School,Grand Haven,Ottawa,70010,Grand Haven Area Public Schools,LEA School,1317,Grand Haven Cyber School,1415 S Beechtree St,Grand Haven
Grand Ledge Middle School,Grand Ledge,Eaton,23060,Grand Ledge Public Schools,LEA School,1457,Grand Ledge High School,820 Spring St,Grand Ledge
Grand Ledge Public Schools Bus Garage,Grand Ledge,Eaton,23060,Grand Ledge Public Schools,LEA School,1457,Grand Ledge High School,820 Spring St,Grand Ledge
Hayes Middle School,Grand Ledge,Eaton,23060,Grand Ledge Public Schools,LEA School,5818,Leon W. Hayes Middle School,12620 Nixon Rd,Grand Ledge
Cesar E Chavez Elementary,Grand Rapids,Kent,41010,Grand Rapids Public Schools,LEA School,1539,Cesar E. Chavez Elementary,1205 Grandville Ave Sw,Grand Rapids
Grandville Central Elementary,Grandville,Kent,41130,Grandville Public Schools,LEA School,594,Grandville Central Elementary School,4052 Prairie St Sw,Grandville
Grandville High School,Grandville,Kent,41130,Grandville Public Schools,LEA School,594,Grandville Central Elementary School,4052 Prairie St Sw,Grandville
Grand Rapids Christian High School,Grand Rapids,Kent,41130,Grandville Public Schools,LEA School,851,Grandville Cummings Elementary School,4261 Schoolcraft St Sw,Grand Rapids
Grant Public Schools,Grant,Newaygo,62050,Grant Public School District,LEA School,1469,Grant Elementary School,160 East State Rd,Grant
Grant Public Schools,Grant,Newaygo,62050,Grant Public School District,LEA School,1469,Grant Elementary School,160 East State Rd,Grant
Gratiot-Isabella RESD,Ithaca,Gratiot,29000,Gratiot-Isabella RESD,ISD,29000,,,
Gilbert Elementary,Gwinn,Marquette,52040,Gwinn Area Community Schools,LEA School,2689,George D. Gilbert Elementary School,250 W Iron Street,Gwinn
Gwinn Middle/High School,Gwinn,Marquette,52040,Gwinn Area Community Schools,LEA School,1527,Gwinn Middle/High School,50 West State Highway M35,Gwinn
Hancock High School,Hancock,Houghton,31010,Hancock Public Schools,LEA School,1555,Hancock Middle/High School,501 Campus Dr,Hancock
Hancock Public Schools,Hancock,Houghton,31010,Hancock Public Schools,LEA School,1555,Hancock Middle/High School,501 Campus Dr,Hancock
Harbor Beach High School,Harbor Beach,Huron,32060,Harbor Beach Community Schools,LEA School,1563,Harbor Beach Community High School,402 South 5th St,Harbor Beach
Harbor Beach Schools,Harbor Beach,Huron,32060,Harbor Beach Community Schools,LEA School,1563,Harbor Beach Community High School,402 South 5th St,Harbor Beach
Harbor Springs High School,Harbor Springs,Emmet,24020,Harbor Springs School District,LEA School,1564,Harbor Springs High School,500 N Spring St,Harbor Spgs
Harrison Middle School,Harrison,Clare,18060,Harrison Community Schools,LEA School,1583,Harrison Community High School,700 South 5th St,Harrison
Hartford,Hartford,Van Buren,80120,Hartford Public Schools,LEA School,1598,Hartford High School,121 School St,Hartford
McFall Elementary,Middleville,Barry,8030,Hastings Area School District,LEA School,1606,Central Elementary School,509 South Broadway St,Hastings
Hesperia Public Schools,Hesperia,Newaygo,62060,Hesperia Community Schools,LEA School,1654,Patricia St. Clair Elementary School,96 South Division St,Hesperia
Davis Middle School,Hillsdale,Hillsdale,30020,Hillsdale Community Schools,LEA School,876,Davis Middle School,30 North West St,Hillsdale
Holland High School,Holland,Ottawa,70020,Holland City School District,LEA School,1697,Holland High School,600 Van Raalte Ave,Holland
Messiah Child Development Center,Holt,Ingham,33070,Holt Public Schools,LEA School,7796,Horizon Elementary School,5776 Holt Rd,Holt
Houghton High School,Houghton,Houghton,31110,Houghton-Portage Township School District,LEA School,1766,Houghton Central High School,1603 Gundlach Rd,Houghton
Houghton-Portage Township High School,Houghton,Houghton,31110,Houghton-Portage Township School District,LEA School,1766,Houghton Central High School,1603 Gundlach Rd,Houghton
Howell High School,Howell,Livingston,47070,Howell Public Schools,LEA School,2436,Howell High School,1200 West Grand River Ave,Howell
Hutchings Elementary School,Howell,Livingston,47070,Howell Public Schools,LEA School,9167,Ruahmah J. Hutchings Elementary,3503 Bigelow Rd,Howell
Hudson Elementary,Hudson,Lenawee,46080,Hudson Area Schools,LEA School,919,Hudson Tech Alternative,550 E Main St.,Hudson
Hudson Schools,Hudson,Lenawee,46080,Hudson Area Schools,LEA School,919,Hudson Tech Alternative,550 E Main St.,Hudson
Hudsonville High School,Hudsonville,Ottawa,70190,Hudsonville Public School District,LEA School,1784,Hudsonville Freshman Building,3370 Allen St,Hudsonville
Hudsonville High School,Hudsonville,Ottawa,70190,Hudsonville Public School District,LEA School,1784,Hudsonville Freshman Building,3370 Allen St,Hudsonville
Park Elementary,Hudsonville,Ottawa,70190,Hudsonville Public School District,LEA School,1787,Park Elemementary School,5525 Park Ave,Hudsonville
Ida Elementary School,Ida,Monroe,58070,Ida Public School District,LEA School,1806,Ida Elementary School,7900 Ida St,Ida
Imlay City High School,Imlay City,Lapeer,44060,Imlay City Community Schools,LEA School,1811,Imlay City High School,1001 Norlin Dr,Imlay City
Weston Elementary,Imlay City,Lapeer,44060,Imlay City Community Schools,LEA School,1812,Weston Elementary School,275 Weston St,Imlay City
Ishpeming Middle/High School,Ishpeming,Marquette,52180,Ishpeming Public School District No. 1,LEA School,481,Ishpeming Middle School,324 E Pearl St,Ishpeming
Jackson Christian,Jackson,Jackson,38170,Jackson Public Schools,LEA School,1870,Jackson High School,544 Wildwood Ave,Jackson
Jenison High School,Jenison,Ottawa,70175,Jenison Public Schools,LEA School,893,Jenison International Academy,800 Connie St,Jenison
Rose Park Christian School,Holland,Ottawa,70175,Jenison Public Schools,LEA School,6169,Rosewood School,2370 Tyler St,Jenison
Johannesburg-Lewiston Elementary,Johannesburg,Otsego,69030,Johannesburg-Lewiston Area Schools,LEA School,1935,Johannesburg-Lewiston High School,10854 M 32 E,Johannesburg
Kenowa Hills Central Elementary,Grand Rapids,Kent,41145,Kenowa Hills Public Schools,LEA School,305,Kenowa Hills Early Childhood Center,3971 Richmond St Nw,Grand Rapids
Kenowa Hills High School,Grand Rapids,Kent,41145,Kenowa Hills Public Schools,LEA School,305,Kenowa Hills Early Childhood Center,3971 Richmond St Nw,Grand Rapids
Zinser Elementary School,Grand Rapids,Kent,41145,Kenowa Hills Public Schools,LEA School,4627,Zinser Elementary School,3949 Leonard St. Nw,Grand Rapids
